Week Ending,Year,This Week Gross,Potential Gross,Avg Ticket,Top Ticket,Seats Sold,Seats in Theatre,% Cap This Week
2017-03-05,2017,1515568.0,1779845.0,108.09,240.0,140,211.0,96.99
2017-02-26,2017,1764072.0,1779845.0,120.48,240.0,146,421.0,98.06
2017-02-19,2017,1807973.0,1779845.0,127.39,240.0,141,921.0,98.17
2017-02-12,2017,1306187.0,1779845.0,106.47,240.0,122,681.0,84.86
2017-02-05,2017,1464623.0,1779845.0,98.97,240.0,147,991.0,99.11
2017-01-29,2017,1511001.0,1779845.0,100.43,240.0,150,461.0,97.65
2017-01-22,2017,1609231.0,1779845.0,106.59,240.0,150,981.0,97.99
2017-01-15,2017,1668863.0,1779845.0,124.5,240.0,134,51.0,92.73
2017-01-08,2017,1845325.0,1779845.0,123.09,240.0,149,921.0,97.3
2017-01-01,2017,3162603.0,2002325.5,182.83,240.0,172,981.0,99.79
2016-12-25,2016,2245595.0,1779845.0,153.29,240.0,146,491.0,98.1
2016-12-18,2016,2092270.0,1779845.0,140.31,240.0,149,121.0,99.87
2016-12-11,2016,1909374.0,1779845.0,130.49,240.0,146,321.0,97.99
2016-12-04,2016,1736046.0,1779845.0,132.2,240.0,131,321.0,90.84
2016-11-27,2016,2286976.0,1779845.0,160.67,240.0,142,341.0,98.46
2016-11-20,2016,1481062.0,1779845.0,117.66,240.0,125,881.0,87.08
2016-11-13,2016,1752417.0,1779845.0,121.47,240.0,144,271.0,99.8
2016-11-06,2016,1435835.0,1779845.0,114.89,240.0,124,971.0,86.45
2016-10-30,2016,1456974.0,1779845.0,110.53,240.0,131,821.0,91.19
2016-10-23,2016,1682068.0,1779845.0,117.42,240.0,143,251.0,99.09
2016-10-16,2016,1653148.0,1779845.0,117.75,240.0,140,391.0,97.12
2016-10-09,2016,1719802.0,1779845.0,124.36,240.0,138,291.0,95.66
2016-10-02,2016,1368350.0,1779845.0,112.08,240.0,122,91.0,84.46
